sequence,sequence_index,bvec,TR,readout,spin,x,y,z,longitudinal,transverse,phase,Sx,Sy
dwi.seq,1,0,1,1,1,-160.78210819071788,460.4100127693431,469.08972672401063,-4.440892098500626e-16,1.0,90.00000000625377,-1.0914889172754907e-10,1.0
dwi.seq,1,0,1,1,2,181.69595877366217,-10.73319274261172,451.98130930876084,-4.440892098500626e-16,1.0,90.00000000250034,-4.363921854226679e-11,1.0
dwi.seq,1,0,1,1,3,304.10988431001834,-21.309597701651057,-212.63876314549591,-4.440892098500626e-16,0.9999999999999999,90.00000003451916,-6.024730120858898e-10,0.9999999999999999
dwi.seq,1,0,1,1,4,-192.62483406041406,-271.1594744142253,402.8422800910929,-4.440892098500626e-16,1.0,89.99999978052013,3.8306464169578505e-9,1.0
dwi.seq,1,0,1,1,5,-33.069313315121896,-225.22775738846659,88.68404861536656,-4.440892098500626e-16,1.0,89.99999999070421,1.6224212509922704e-10,1.0
dwi.seq,1,0,1,1,6,-473.2346852198693,-294.89369494281266,-157.38017146832158,-4.440892098500626e-16,1.0,90.00000001003608,-1.751625541599747e-10,1.0
dwi.seq,1,0,1,1,7,298.2786582327066,-148.29378414955133,407.8126155077765,-4.440892098500626e-16,0.9999999999999999,90.00000021331343,-3.7230216462557417e-9,0.9999999999999999
dwi.seq,1,0,1,1,8,147.45066191622053,348.7810777470675,156.22990069708476,-4.440892098500626e-16,1.0,90.00000049243582,-8.594626353860261e-9,1.0
dwi.seq,1,0,1,1,9,509.16916682781533,-293.94761527981086,-204.3160709128863,-4.440892098500626e-16,0.9999999999999999,90.00000011470028,-2.0018976231825448e-9,0.9999999999999999
dwi.seq,1,0,1,1,10,475.0805544809133,5.493205876427896,-439.21620920864046,-4.440892098500626e-16,1.0,90.00000000617717,-1.0781203048635677e-10,1.0
dwi.seq,1,0,1,1,11,-115.11177943975258,202.98175982589188,-227.93527796286833,-4.440892098500626e-16,0.9999999999999999,89.99999999660264,5.92951286102704e-11,0.9999999999999999
