sequence,sequence_index,bvec,TR,readout,subset,nspins,longitudinal,transverse,phase,Sx,Sy
dwi.json,1,0,1,1,0,10000,-1.127098414599459e-12,5493.98022824417,-0.3152598050471056,5493.897061836786,-30.22949352856606
dwi.json,1,0,1,1,1,5049,-5.81534820298657e-13,5048.209443575351,-0.023565430827829914,5048.209016590107,-2.076300001568857
dwi.json,1,0,1,1,2,4951,-5.455635943008019e-13,446.5763495546476,-3.6144537377667234,445.68804524665705,-28.153193526997125
