sequence,sequence_index,bvec,TR,readout,spin,x,y,z,longitudinal,transverse,phase,Sx,Sy
dwi.json,1,0,1,1,1,-159.63739614816723,459.17594249877567,485.50634884205965,-2.220446049250313e-16,0.9999999999999841,-0.6721371618707508,0.9999311925323291,-0.011730737438136978
dwi.json,1,0,1,1,2,196.50078446288504,-13.095761658022013,429.7144391383118,-2.220446049250313e-16,0.9999999999999876,-96.16417986488892,-0.10737781204081026,-0.9942182886475704
dwi.json,1,0,1,1,3,307.950804571473,6.329628620538541,-156.5479804730677,-2.220446049250313e-16,0.9999999999999895,149.4903931512938,-0.8615440487939133,0.5076828261698144
dwi.json,1,0,1,1,4,-202.379381961288,-223.52848049077693,424.6887539753649,-2.220446049250313e-16,0.999999999999989,-76.79381179199623,0.22845601978291252,-0.9735542342493959
dwi.json,1,0,1,1,5,-32.13379922470878,-225.22817468010663,51.7103372545438,0.0,0.9999999999999887,0.7719106456037403,0.999909248830273,0.013471974749697042
dwi.json,1,0,1,1,6,-473.35096303133844,-294.69815243107854,-164.91691435797745,-2.220446049250313e-16,0.9999999999999871,-2.6993309465908624,0.9988904249645875,-0.04709478648470526
dwi.json,1,0,1,1,7,283.425999556362,-121.72789231990124,410.38740006754995,-2.220446049250313e-16,0.9999999999999862,-21.729640374906182,0.9289411690329522,-0.3702273686205068
dwi.json,1,0,1,1,8,106.15036918024764,328.8161826855572,187.84725673955472,-2.220446049250313e-16,0.9999999999999856,-28.90248484343124,0.8754435668483632,-0.48332035055828815
dwi.json,1,0,1,1,9,479.115589742011,-305.7853895594797,-234.50136071976618,0.0,0.999999999999988,70.33137905703006,0.3365795947348672,0.9416550198496733
dwi.json,1,0,1,1,10,475.7223555064915,4.7323766378595336,-451.4348130657104,0.0,0.9999999999999902,-0.3189376939760109,0.9999845070072377,-0.005566484121255559
dwi.json,1,0,1,1,11,-114.90591814947014,201.88370298138472,-214.2011137649685,0.0,0.9999999999999888,-1.6272511981122193,0.9995967217989984,-0.028397073241329684
dwi.json,1,0,1,1,12,-464.5371807929731,-173.67218885249682,113.19214564161578,0.0,0.9999999999999876,-7.9754181222945135,0.9903276876899579,-0.13874822879819454
dwi.json,1,0,1,1,13,246.78480006936772,504.086731437522,354.0758305978244,0.0,0.9999999999999882,50.93349907685743,0.6302219692403218,0.7764150111163663
dwi.json,1,0,1,1,14,314.8452236579474,146.05411336928813,-140.75382387471902,0.0,0.9999999999999891,-1.9951189352970573,0.9993937965033796,-0.034814357821736086
dwi.json,1,0,1,1,15,-203.97001273995025,-437.1127379912032,245.97874398517075,-2.220446049250313e-16,0.9999999999999878,-128.83482323853667,-0.6270773617623728,-0.7789569836423047
dwi.json,1,0,1,1,16,121.12779056604506,-248.0489910667161,306.7484132444983,0.0,0.9999999999999863,-0.13681154033179155,0.9999971491786648,-0.0023878095644393827
dwi.json,1,0,1,1,17,-237.02714027539147,225.00622334597787,-409.5833494336992,0.0,0.9999999999999897,0.4247935397664752,0.9999725160875061,0.00741397798767228
dwi.json,1,0,1,1,18,404.9102943468265,-439.08344633449855,48.60757015623151,0.0,0.9999999999999885,-0.7007790200426598,0.999925203459995,-0.012230596284092187
dwi.json,1,0,1,1,19,81.49934850111342,-126.38902011799499,389.0727451780419,0.0,0.9999999999999862,-117.29403616992545,-0.45855705719097645,-0.8886649679718021
dwi.json,1,0,1,1,20,331.7050734277776,137.91710488348187,-325.4646184250797,-2.220446049250313e-16,0.9999999999999852,0.7822234253147968,0.9999068077860461,0.01365195015700852
dwi.json,1,0,1,1,21,340.1229934644857,52.43693325924582,268.42255566102676,0.0,0.9999999999999869,0.5619021327462087,0.9999519113461688,0.00980688508740825
dwi.json,1,0,1,1,22,407.8716612430697,-135.89662572149888,-390.4842902379945,0.0,0.9999999999999883,1.1300063398626472,0.9998055211300253,0.01972105265687429
dwi.json,1,0,1,1,23,250.24433968113587,-462.58243407185086,-201.40684522475976,0.0,0.9999999999999873,-0.5213480411558749,0.9999586022025415,-0.009099114303817062
dwi.json,1,0,1,1,24,-184.19276961217622,352.0931198216068,-84.36618967857312,0.0,0.9999999999999863,-1.207721316419338,0.9997778521457386,-0.02107715253126778
dwi.json,1,0,1,1,25,315.5268052537023,121.54019652383114,240.9690489631797,-2.220446049250313e-16,0.9999999999999897,122.6615885262505,-0.5396760446599277,0.8418727735354049
dwi.json,1,0,1,1,26,381.3061921757719,-49.63243100107087,-465.0312179374422,0.0,0.999999999999989,99.4856025411753,-0.16479976378807507,0.9863270440656956
dwi.json,1,0,1,1,27,-408.8409121956536,-435.8225729969985,-136.49463667056855,-2.220446049250313e-16,0.9999999999999879,-82.73735743982866,0.12641785622047716,-0.9919770791850961
