sequence,sequence_index,bvec,TR,readout,spin,x,y,z,longitudinal,transverse,phase,Sx,Sy
dwi.seq,1,0,1,1,17,-238.08447490290308,224.81484809350806,-409.6344706382286,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,18,404.34467920297067,-439.3121770923098,67.93120863506456,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,19,63.24544041489941,-78.22177899105513,395.5229096900165,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,20,332.3363945258885,137.47676726359157,-365.7699220259408,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,21,339.859054769029,52.61355567238024,332.8099913037962,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,22,408.0507238360924,-134.36116901481222,-390.8035707615297,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,23,249.99972724459622,-462.9047514083005,-178.46668177581697,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,24,-185.52280171617136,352.17901673028973,-123.20303308470942,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,25,303.52999999482034,113.69977779743743,247.91321321797642,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,26,390.975365811986,-18.67286933654717,-501.2654267255115,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,27,-415.6189453889906,-388.4010861470488,-143.23565269818602,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,28,-78.05442591227232,227.6015509354493,29.484284143445045,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,29,28.237933832963602,338.5570272028401,319.0697780388307,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,30,-465.595093734784,-275.47885322980284,-98.53188518702406,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,31,381.03748359392824,198.5317020057563,61.28538546919144,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,32,-436.6773017751496,275.35207068376457,34.76896888959183,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,33,-194.82297528456328,320.82406320809446,-18.394218286007938,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,34,273.85169535596026,-209.02638016986143,28.763732143433934,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,35,82.64712901177708,-483.53722958812364,375.188494330393,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,36,214.40299591198576,450.1800801803586,311.00488004297125,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,37,-429.3412669151839,352.04984274478386,476.7116239967179,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,38,126.37045093500116,-208.86018957881194,-403.31681209054443,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,39,-87.25237476246421,384.53744763700433,462.7488754765264,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,40,261.9044047749688,257.776468752072,-26.563713164766526,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,41,485.217224086976,-36.391700081226595,-345.79030340238637,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,42,-329.4018290679028,-471.5178720237996,-366.2593144372791,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,43,-299.6267548000075,-199.06478886912257,360.76156436781577,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,44,-345.29630238434123,390.5360153876443,48.585371009712524,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,45,382.5174495362087,350.9332486314964,-161.82422819554859,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,46,271.52915190914035,-333.18249470432835,216.8459186198074,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,47,-336.4139434833738,-446.93487031039456,-231.75686232928945,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,48,379.82811932384146,-354.81781043416566,-232.59032745269357,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,49,-427.5536807869697,117.48983665632558,-258.8516577929792,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,50,380.5834884912944,-43.00749706296044,-243.1715302909139,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,51,-488.7229379412142,-96.45789636763476,101.29350093819063,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,52,342.87032657004306,413.32803944774116,-429.0649734135106,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,53,-199.15735037510626,-75.88079167421726,431.9661075305259,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,54,362.6037896471796,486.55360764767937,-311.658297677704,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,55,-389.2332007890637,-336.89963247450135,87.37511906656525,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,56,96.9523416625065,-478.27404467151695,-95.34129871730852,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,57,-213.53495513945504,270.5724241402272,95.24244792898222,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,58,253.9999897134948,122.39988474804915,81.74517790911942,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,59,150.0875007431981,-311.49765782440346,-89.97344592409745,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,60,-493.78186476007625,-215.2673530226473,-301.36319377116325,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,61,-497.14021871500773,100.028774441953,256.51170033320085,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,62,-350.80875902709863,-497.43803988247055,-257.0167264509968,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,63,-370.35010691992596,277.4323126248997,219.13641327423835,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,64,-467.93413082374445,-385.5053554168484,-144.32414986322496,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,65,333.94719970875576,-377.2071774773704,247.95716509223013,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,66,-381.0338068642801,302.9313285410815,268.08913507169217,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,67,394.4728068172109,-477.9810539770914,392.7744437346211,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,68,-370.3917996101276,-432.3264291230528,-356.2698287253584,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,69,-373.08320629660284,-27.153009282488895,-497.6359802919468,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,70,-114.59990423879609,425.424790393356,-143.36186423907822,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,71,-94.93652888665382,-300.9143414679653,261.68155610841393,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,72,-205.0200182723063,474.70358305885134,-512.0389375025683,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,73,229.3040565169906,1.707997757259768,-493.72112112392597,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,74,-374.4073559259362,-135.5928984984107,-155.93996293174837,-4.440892098500626e-16,1.0,90.0,0.0,1.0
