sequence,sequence_index,TR,readout,spin,x,y,z,longitudinal,transverse,phase,Sx,Sy
dwi_te_80_bval_2.seq,1,1,1,27,-416.238834037547,-386.8019072150525,-142.99588487210664,-2.220446049250313e-16,1.0,-53.690768866703365,0.5921430171781144,-0.8058328903731836
dwi_te_80_bval_2.seq,1,1,1,28,-77.42086790155317,227.43802374276243,2.5011256215316666,-2.220446049250313e-16,0.9999999999999999,89.60862275744455,0.0068307683789318235,0.9999766700295328
dwi_te_80_bval_2.seq,1,1,1,29,25.990009159507323,316.1455442513619,318.79171517491835,-2.220446049250313e-16,1.0,-150.4015675229964,-0.869508442657446,-0.49391807837679214
dwi_te_80_bval_2.seq,1,1,1,30,-465.6275111584674,-275.3498590904776,-109.50041917265429,-2.220446049250313e-16,1.0,88.95168275091419,0.018295566775866384,0.999832622110496
dwi_te_80_bval_2.seq,1,1,1,31,378.82475082706884,188.9588467157905,61.55132362510358,-2.220446049250313e-16,1.0,-5.052961114153732,0.9961137104750263,-0.08807653378554121
dwi_te_80_bval_2.seq,1,1,1,32,-437.1112294918651,275.80510986778177,35.154588492544306,-2.220446049250313e-16,1.0,89.4396360522087,0.00978003998291664,0.9999521742653158
dwi_te_80_bval_2.seq,1,1,1,33,-194.43579662205985,319.67425579161085,-27.162964072905297,-2.220446049250313e-16,1.0,90.65282906373932,-0.011393770081159662,0.9999350888949431
dwi_te_80_bval_2.seq,1,1,1,34,276.55775788667745,-207.13307481921566,46.5835288770375,0.0,1.0,120.13902597859033,-0.5020999029401647,0.8648096249854514
dwi_te_80_bval_2.seq,1,1,1,35,71.16680053320657,-490.4107901736267,390.5621892453937,-2.220446049250313e-16,1.0,-106.89653854075004,-0.29064438826506755,-0.9568311447533596
dwi_te_80_bval_2.seq,1,1,1,36,214.16055602670846,449.49326544030396,305.00425523666684,0.0,1.0,91.35015333961383,-0.023562440371806,0.9997223671618661
dwi_te_80_bval_2.seq,1,1,1,37,-429.5807407205476,352.49173297306737,492.98118881531474,-4.440892098500626e-16,1.0,91.16500147391253,-0.020331710467894025,0.9997932894100908
dwi_te_80_bval_2.seq,1,1,1,38,143.6816747855831,-222.50583143165343,-388.687944482532,-2.220446049250313e-16,1.0,157.97070835841168,-0.9269922211874595,0.37508055382536193
dwi_te_80_bval_2.seq,1,1,1,39,-87.2384082843917,384.7356556227991,462.54346226819257,0.0,1.0,92.01249444184214,-0.03511743217747675,0.9993831927530402
dwi_te_80_bval_2.seq,1,1,1,40,262.4776553082242,258.1192048598084,-26.712793560816678,-2.220446049250313e-16,1.0,90.620244797939,-0.010825102461872056,0.999941406861767
dwi_te_80_bval_2.seq,1,1,1,41,462.6651459685907,-68.87224551324624,-332.64223197641275,-4.440892098500626e-16,1.0,84.02465701337587,0.10410046501531285,0.9945667866883529
dwi_te_80_bval_2.seq,1,1,1,42,-321.6267679208461,-480.59375865765276,-366.0387047787346,-2.220446049250313e-16,1.0,-30.119222380697465,0.8649831181241991,-0.5018009618963855
dwi_te_80_bval_2.seq,1,1,1,43,-303.9040878537571,-177.2033107730899,360.9556712211647,-2.220446049250313e-16,0.9999999999999999,-110.8705265852268,-0.35625738976528043,-0.934387859637329
dwi_te_80_bval_2.seq,1,1,1,44,-345.65047498177233,390.5679372006104,48.2210206745113,-2.220446049250313e-16,1.0,89.27673399612377,0.01262303788325014,0.9999203262833485
dwi_te_80_bval_2.seq,1,1,1,45,382.59392510927705,350.8791520380884,-142.2574335065507,-2.220446049250313e-16,1.0,89.45045618799122,0.009591201846473751,0.9999540033657249
dwi_te_80_bval_2.seq,1,1,1,46,288.50864681410354,-335.5705361872039,225.3269164560074,-2.220446049250313e-16,1.0,69.64508574355978,0.3478343972768738,0.9375559887660224
dwi_te_80_bval_2.seq,1,1,1,47,-319.4624234226821,-403.41622236613574,-238.39137659982705,0.0,1.0,-8.880862405330845,0.9880114860982023,-0.154380385211405
dwi_te_80_bval_2.seq,1,1,1,48,379.5679058498414,-354.7500466888585,-194.79116650026964,-4.440892098500626e-16,1.0,89.7457457170558,0.004437559810519784,0.999990153982992
dwi_te_80_bval_2.seq,1,1,1,49,-427.6397078604683,117.27818374403945,-258.8590221212556,-4.440892098500626e-16,1.0,91.35113137995995,-0.023579505653430262,0.999721964804785
dwi_te_80_bval_2.seq,1,1,1,50,380.4675268468251,-42.57093968797389,-243.37415585356055,-4.440892098500626e-16,1.0,90.48887754595671,-0.008532419282836892,0.9999635982480471
dwi_te_80_bval_2.seq,1,1,1,51,-459.29874817804364,-106.4904532548495,110.06424538427343,-2.220446049250313e-16,1.0,138.70124358595422,-0.7512784584445805,0.6599853618658027
dwi_te_80_bval_2.seq,1,1,1,52,342.0397040599245,412.9810012961845,-435.5158252942993,-2.220446049250313e-16,1.0,90.34107424877402,-0.005952833476653116,0.9999822817298311
dwi_te_80_bval_2.seq,1,1,1,53,-201.6378391358549,-70.7878096748285,431.5433556232927,-2.220446049250313e-16,1.0,55.1988027398811,0.5707307264013382,0.8211372832489101
dwi_te_80_bval_2.seq,1,1,1,54,362.67902799601205,486.8817120862136,-311.4172427477932,-2.220446049250313e-16,1.0,89.21578350933669,0.013686732459538378,0.9999063322904707
dwi_te_80_bval_2.seq,1,1,1,55,-390.17628453055556,-337.2946382111442,49.925788085295785,0.0,0.9999999999999999,89.74458310946011,0.004457850940269506,0.9999900637331324
dwi_te_80_bval_2.seq,1,1,1,56,97.03646058774225,-477.9905712426747,-95.37796035041114,-2.220446049250313e-16,0.9999999999999999,89.36033221913749,0.011164076973175164,0.9999376797507616
dwi_te_80_bval_2.seq,1,1,1,57,-232.00904714142587,283.5417306362968,77.7063158371013,-2.220446049250313e-16,1.0,-101.58847195481985,-0.20088082424019624,-0.9796156871205052
dwi_te_80_bval_2.seq,1,1,1,58,232.0556612061397,164.09604783292434,115.9768532271322,-2.220446049250313e-16,1.0,35.900185024435814,0.8100397468777636,0.586374972588538
dwi_te_80_bval_2.seq,1,1,1,59,211.60236907099846,-344.16686411903686,-72.40771578777417,-2.220446049250313e-16,1.0,-68.21440744162919,0.3711343492789392,-0.9285791806762084
dwi_te_80_bval_2.seq,1,1,1,60,-486.0951040286956,-218.05991750666658,-276.32115773422987,-2.220446049250313e-16,1.0,-168.87902675288478,-0.9812221251573774,-0.19288115797464503
dwi_te_80_bval_2.seq,1,1,1,61,-498.3030295263364,99.73559918798631,234.6719346090361,-2.220446049250313e-16,1.0,89.14323520946891,0.01495280924613177,0.9998882004982601
dwi_te_80_bval_2.seq,1,1,1,62,-349.5056205994849,-496.7897215839402,-242.76039677257987,-2.220446049250313e-16,1.0,88.75440231990797,0.02173806827776712,0.9997637002749955
dwi_te_80_bval_2.seq,1,1,1,63,-369.4987552968351,277.92309545073357,209.69839162402013,-2.220446049250313e-16,0.9999999999999999,91.76824442141242,-0.030856788363549437,0.9995238159303094
dwi_te_80_bval_2.seq,1,1,1,64,-466.87159602383144,-385.0732684327498,-82.15539654456339,0.0,1.0,88.90680353941389,0.01907871998417346,0.9998179846570903
dwi_te_80_bval_2.seq,1,1,1,65,339.0156464539229,-376.65141812570505,247.77239873985403,-2.220446049250313e-16,1.0,-118.80309171734825,-0.4818009594759793,-0.8762806830280043
dwi_te_80_bval_2.seq,1,1,1,66,-362.0228135735043,296.2925582550528,288.84954467818454,-2.220446049250313e-16,1.0,61.471696287310806,0.4775928315033423,0.8785812923666313
dwi_te_80_bval_2.seq,1,1,1,67,395.64023565070454,-477.9030490741835,409.4024600277645,-2.220446049250313e-16,1.0,90.37856435076446,-0.006607146278755692,0.9999781725708072
dwi_te_80_bval_2.seq,1,1,1,68,-370.44873035737606,-431.8330442492983,-356.2136793323607,-2.220446049250313e-16,1.0,90.20197408328204,-0.0035251054562181025,0.9999937867964593
dwi_te_80_bval_2.seq,1,1,1,69,-372.7363453747885,-28.285688975505167,-543.9379772540224,-2.220446049250313e-16,1.0,89.40293647232284,0.010420535802218973,0.9999457047428099
dwi_te_80_bval_2.seq,1,1,1,70,-114.40630932351374,424.5630154172848,-153.793102428628,0.0,0.9999999999999999,91.20222983917438,-0.020981329367501876,0.9997798676798669
dwi_te_80_bval_2.seq,1,1,1,71,-95.26308555414832,-299.87396050430584,266.8525797490922,-2.220446049250313e-16,1.0,90.1653565737713,-0.002886012645811417,0.9999958354568323
dwi_te_80_bval_2.seq,1,1,1,72,-205.69950649809445,474.62699837810464,-512.2343208167622,-2.220446049250313e-16,1.0,92.04314062402318,-0.03565197399490946,0.9993642662964622
dwi_te_80_bval_2.seq,1,1,1,73,241.1227700591075,1.5833595140834407,-493.572442543161,-2.220446049250313e-16,1.0,16.13769731607681,0.9605964891792822,0.2779467304654565
dwi_te_80_bval_2.seq,1,1,1,74,-374.23956292056334,-135.34631057100117,-156.34538053436776,-2.220446049250313e-16,1.0,90.13213635559623,-0.0023062124224257543,0.9999973406885954
dwi_te_80_bval_2.seq,1,1,1,75,-75.98609231738959,346.0465007552616,162.79814430895487,-4.440892098500626e-16,1.0,-149.03123753205682,-0.8574479709131527,-0.5145706726747232
dwi_te_80_bval_2.seq,1,1,1,76,-254.2616614829412,216.32084426026307,306.1833407623465,-2.220446049250313e-16,1.0,-96.0563312239924,-0.10550619203858941,-0.9944186459643224
dwi_te_80_bval_2.seq,1,1,1,77,419.4199169626334,-399.7130825263735,-300.27932476219445,-2.220446049250313e-16,1.0,89.81079002644583,0.0033023310139008804,0.9999945472900713
dwi_te_80_bval_2.seq,1,1,1,78,405.5158345274594,182.3259450934498,92.78564880233812,-4.440892098500626e-16,1.0,89.58157996961836,0.00730274227563449,0.9999733346221067
dwi_te_80_bval_2.seq,1,1,1,79,-32.50646908547512,181.48345500263093,357.3580186389586,-2.220446049250313e-16,0.9999999999999999,153.6361390956489,-0.8959920339986012,0.44407012397936574
dwi_te_80_bval_2.seq,1,1,1,80,-329.2501444290828,-296.472769773031,87.25140597552064,-2.220446049250313e-16,1.0,164.13369830676857,-0.961902271328696,0.27339352664738725
dwi_te_80_bval_2.seq,1,1,1,81,390.0575679174894,349.8435745577914,-34.72945811342274,0.0,0.9999999999999999,91.5534895813571,-0.02711018616433869,0.9996324513570649
dwi_te_80_bval_2.seq,1,1,1,82,444.8952411709788,-413.9901269782565,-430.77013685654356,-2.220446049250313e-16,1.0,171.08402398745966,-0.9879166888448199,0.1549858571027931
dwi_te_80_bval_2.seq,1,1,1,83,2.160459693089223,31.939787336499254,164.5571946998949,-2.220446049250313e-16,1.0,87.68549186368865,0.0403848019992006,0.9991842011198362
dwi_te_80_bval_2.seq,1,1,1,84,482.27715438149335,-165.6802718092429,-414.15067789241255,-2.220446049250313e-16,1.0,88.34784706793653,0.028831512520903987,0.9995842855336197
dwi_te_80_bval_2.seq,1,1,1,85,11.305962733058374,428.4930525612955,-144.5516030552921,-2.220446049250313e-16,1.0,153.05909851172098,-0.8914743248077286,0.45307121759013164
dwi_te_80_bval_2.seq,1,1,1,86,-290.1694423108201,-482.5973171389325,300.22925278725626,0.0,1.0,88.69909156106951,0.02270318473932576,0.9997422494836817
dwi_te_80_bval_2.seq,1,1,1,87,313.46566645491373,325.00096588158044,312.47028309587074,-2.220446049250313e-16,1.0,89.89679301449723,0.0018013007339711831,0.9999983776565169
dwi_te_80_bval_2.seq,1,1,1,88,452.58062401927526,-200.47781128147818,32.886009701284856,-4.440892098500626e-16,1.0,90.2980657660537,-0.0052022055403321615,0.9999864684372065
dwi_te_80_bval_2.seq,1,1,1,89,354.95079807604196,-221.12895665152135,-393.80089507258464,-2.220446049250313e-16,1.0,88.25964876889793,0.030370188536159387,0.9995387194342589
dwi_te_80_bval_2.seq,1,1,1,90,-241.33185450168034,-240.72314390589221,264.9649273396346,-2.220446049250313e-16,1.0,164.87427497794806,-0.9653555706043816,0.26093796638873545
dwi_te_80_bval_2.seq,1,1,1,91,-31.432371442463378,29.025510917021855,10.814875538480207,-2.220446049250313e-16,1.0,-30.20077889163133,0.8642679637082737,-0.5030316957285633
dwi_te_80_bval_2.seq,1,1,1,92,-20.22895212796463,-439.93851434538675,-307.54690963784833,-2.220446049250313e-16,1.0,90.15263506778462,-0.002663981335880606,0.9999964515954255
dwi_te_80_bval_2.seq,1,1,1,93,-493.16189919236666,455.68797328280357,245.44935982693397,0.0,1.0,90.08076081108811,-0.0014095415933203116,0.9999990065957549
dwi_te_80_bval_2.seq,1,1,1,94,116.58554642744456,-405.19025280584043,-338.36924308487136,-2.220446049250313e-16,1.0,89.11028753878782,0.01552778778663301,0.9998794366354642
dwi_te_80_bval_2.seq,1,1,1,95,-252.36260557175223,151.47544016343969,-413.3214899767191,-2.220446049250313e-16,1.0,-44.832659223081464,0.7091689720517944,-0.7050385585760549
dwi_te_80_bval_2.seq,1,1,1,96,-139.14093801376893,314.4365279328935,433.88574162222056,-2.220446049250313e-16,1.0,112.57301492076067,-0.3838604679072566,0.923391109540276
dwi_te_80_bval_2.seq,1,1,1,97,-397.4631550767052,-404.46769607224917,-340.4982814002073,-2.220446049250313e-16,1.0,88.6949630156987,0.022775222817708315,0.9997406109714678
dwi_te_80_bval_2.seq,1,1,1,98,-367.8576466831926,118.23634647893974,-24.18780847716505,0.0,1.0,90.86074772413576,-0.01502231674346039,0.9998871586332425
dwi_te_80_bval_2.seq,1,1,1,99,-268.2231130653521,-190.23601154232398,-30.278422637390573,-2.220446049250313e-16,1.0,90.75360311152326,-0.013152476317208114,0.9999135024424489
dwi_te_80_bval_2.seq,1,1,1,100,-455.8864067122436,-99.18179752599444,337.4837734552296,-2.220446049250313e-16,1.0,-128.48236275119507,-0.6222736983945376,-0.7827997472447114
dwi_te_80_bval_2.seq,1,1,1,101,137.2764831529313,-388.1998767326084,-208.37011800805053,0.0,1.0,91.2365923183645,-0.021580931937420163,0.9997671045682152
dwi_te_80_bval_2.seq,1,1,1,102,444.0978411472255,373.0903984978242,98.86806363283503,-2.220446049250313e-16,1.0,56.8974470059411,0.5461392876702953,0.8376943824945841
dwi_te_80_bval_2.seq,1,1,1,103,-153.2387646213751,-387.4106196645466,325.56212505502816,-4.440892098500626e-16,0.9999999999999999,91.75196857991932,-0.030572855367991692,0.9995325409983647
dwi_te_80_bval_2.seq,1,1,1,104,388.3478840674034,-131.5742789376844,403.56739115441684,-2.220446049250313e-16,1.0,122.76351951456581,-0.5411729079073931,0.8409113411930275
dwi_te_80_bval_2.seq,1,1,1,105,-331.18700213373256,-353.95718862811106,-148.49569220603053,-2.220446049250313e-16,1.0,-48.95552063219111,0.6566447209055941,-0.7542000467427818
dwi_te_80_bval_2.seq,1,1,1,106,442.8839052641503,256.04901708896955,-308.0142030217892,-2.220446049250313e-16,1.0,149.38293046406034,-0.860590335391172,0.5092978250800901
dwi_te_80_bval_2.seq,1,1,1,107,-290.88068648486825,105.21977069793554,-176.2362488906995,0.0,1.0,89.58403477695538,0.0072598989408759,0.999973646586433
dwi_te_80_bval_2.seq,1,1,1,108,225.06992430528103,-384.2671343098494,287.8789498666471,-2.220446049250313e-16,1.0,88.33280401579668,0.02909395316739688,0.9995766813452049
dwi_te_80_bval_2.seq,1,1,1,109,104.12157317055359,-320.4509651807047,325.3870262754172,-2.220446049250313e-16,1.0,88.64858450260976,0.02358446305904443,0.9997218478668037
dwi_te_80_bval_2.seq,1,1,1,110,371.5961940024949,364.3260033448254,-304.03453860010285,-2.220446049250313e-16,1.0,-11.577168935322334,0.9796552968038547,-0.20068756674032243
dwi_te_80_bval_2.seq,1,1,1,111,150.84901755035634,250.68773154928516,-105.727948186197,-2.220446049250313e-16,1.0,3.023242424863838,0.9986082221505524,0.052741052827117725
dwi_te_80_bval_2.seq,1,1,1,112,435.00738607087015,205.72630088444805,462.6713334773693,-2.220446049250313e-16,1.0,89.45841634809221,0.009452277141967141,0.9999553262305428
dwi_te_80_bval_2.seq,1,1,1,113,86.12208775048718,-149.61671040460482,-29.864440735945937,-2.220446049250313e-16,1.0,167.89287549490552,-0.9777571639546527,0.20974014478719688
dwi_te_80_bval_2.seq,1,1,1,114,423.79501601994406,443.46403909401556,389.87106296527276,-2.220446049250313e-16,0.9999999999999999,-178.7503415309393,-0.9997621570971734,-0.021808925613303824
dwi_te_80_bval_2.seq,1,1,1,115,479.9948413365639,-142.67858306911194,-163.13050022082163,-4.440892098500626e-16,1.0,89.7713029556935,0.003991505813794414,0.9999920339089399
dwi_te_80_bval_2.seq,1,1,1,116,-13.442439143862936,-265.91797601793843,213.95709476422152,-4.440892098500626e-16,1.0,-163.47293016171824,-0.9586854425944238,-0.2844683148569165
dwi_te_80_bval_2.seq,1,1,1,117,71.63828217794864,-167.43735419803087,-418.53720031762634,-2.220446049250313e-16,1.0,90.89866747377391,-0.0156840632067151,0.9998769975158583
dwi_te_80_bval_2.seq,1,1,1,118,-206.9724739644868,-106.03068364200854,-308.4300515631098,-2.220446049250313e-16,1.0,-158.3484362060649,-0.9294448127802334,-0.36896116326236406
